film_title,night,blood,death,scream,dark,fear,knife,shadow,silent,creepy,total
Red-Riding-Hood_Unknown,70,23,28,21,28,8,9,8,2,0,197
Halloween-The-Curse-of-Michael-Myers_Unknown,44,27,16,30,23,11,20,12,5,1,189
Deep-Rising_Unknown,84,12,8,29,16,12,7,5,5,4,182
Scream-4_Unknown,69,19,19,25,6,6,26,1,1,2,174
Interview-with-the-Vampire_Unknown,63,29,32,15,10,10,4,9,1,0,173
Blade-Trinity_Unknown,90,33,9,14,6,3,7,9,1,0,172
Blade-II_Unknown,71,36,5,18,10,6,7,12,0,0,165
Friday-the-13th-Part-VIII-Jason-Takes-Manhattan_Unknown,52,11,25,23,7,23,13,10,0,0,164
Blade_Unknown,61,44,11,9,7,12,10,7,2,0,163
Malignant_Unknown,48,21,13,14,17,19,13,8,2,2,157
Slither_Unknown,68,23,8,27,15,6,4,4,0,2,157
Hellraiser-Deader_Unknown,36,28,20,15,20,10,18,8,0,1,156
Bones_Unknown,23,27,18,14,25,9,12,21,2,4,155
Land-of-the-Dead_Unknown,82,17,18,14,9,1,2,8,2,1,154
Final-Destination_Unknown,63,6,22,4,12,11,11,14,4,5,152
Lord-of-Illusions_Unknown,55,24,20,12,14,6,10,9,1,1,152
Hellboy_Unknown,67,21,13,14,10,1,11,9,4,1,151
Hellraiser-3-Hell-on-Earth_Unknown,66,13,12,16,16,10,1,7,4,2,147
Perfect-Creature_Unknown,43,38,20,15,8,9,3,7,1,2,146
Pet-Sematary-II_Unknown,47,16,16,10,12,13,2,10,6,10,142
It_Unknown,21,27,18,15,19,10,9,9,2,11,141
They_Unknown,53,15,4,16,15,20,3,10,2,2,140
Sleepy-Hollow_Unknown,52,29,22,6,4,6,11,2,4,1,137
Case-39_Unknown,44,7,14,10,12,27,6,4,6,4,134
Tucker-and-Dale-vs-Evil_Unknown,27,26,18,21,9,6,14,3,0,9,133
Predator_Unknown,35,29,10,15,6,10,12,7,7,0,131
Copycat_Unknown,51,11,18,12,9,14,6,5,1,2,129
Priest_Unknown,29,23,11,14,13,5,9,13,1,6,124
Gremlins_Unknown,35,14,19,25,15,3,4,4,2,2,123
Saw-IV_Unknown,45,26,25,11,9,2,1,1,1,0,121
