Horror_Signal,Total_Occurrences,Scenes_With_Signal,Fear_Impact,Tension_Impact,Overall_Impact,Avg_Fear_When_Present,Avg_Tension_When_Present
scream,1187,1031,0.37,0.321,0.691,0.641,0.723
fear,729,715,0.319,0.256,0.575,0.606,0.673
blood,1460,1313,0.288,0.274,0.562,0.559,0.673
knife,569,552,0.276,0.263,0.538,0.57,0.684
death,1213,1133,0.228,0.211,0.438,0.511,0.622
shadow,477,453,0.207,0.197,0.404,0.507,0.624
dark,981,933,0.178,0.167,0.346,0.471,0.587
silent,188,188,0.165,0.154,0.319,0.472,0.587
night,3694,3619,0.139,0.158,0.297,0.397,0.536
creepy,178,176,0.09,0.074,0.163,0.398,0.508
